num,name,slug,desc
1,Stench,stench,"By releasing a stench when attacking, the Pokémon may cause the target to flinch."
2,Drizzle,drizzle,The Pokémon makes it rain when it enters a battle.
3,Speed Boost,speedboost,The Pokémon's Speed stat is boosted every turn.
4,Battle Armor,battlearmor,Hard armor protects the Pokémon from critical hits.
5,Sturdy,sturdy,The Pokémon cannot be knocked out by a single hit as long as its HP is full. One-hit KO moves will also fail to knock it out.
6,Damp,damp,"The Pokémon dampens its surroundings, preventing all Pokémon from using explosive moves such as Self-Destruct."
7,Limber,limber,The Pokémon's limber body prevents it from being paralyzed.
8,Sand Veil,sandveil,Boosts the Pokémon's evasiveness in a sandstorm.
9,Static,static,The Pokémon is charged with static electricity and may paralyze attackers that make direct contact with it.
10,Volt Absorb,voltabsorb,"If hit by an Electric-type move, the Pokémon has its HP restored instead of taking damage."
11,Water Absorb,waterabsorb,"If hit by a Water-type move, the Pokémon has its HP restored instead of taking damage."
12,Oblivious,oblivious,"The Pokémon is oblivious, keeping it from being infatuated, falling for taunts, or being affected by Intimidate."
13,Cloud Nine,cloudnine,Eliminates the effects of weather.
14,Compound Eyes,compoundeyes,The Pokémon's compound eyes boost its accuracy.
15,Insomnia,insomnia,The Pokémon's insomnia prevents it from falling asleep.
16,Color Change,colorchange,The Pokémon's type becomes the type of the move used on it.
17,Immunity,immunity,The Pokémon's immune system prevents it from being poisoned.
18,Flash Fire,flashfire,"If hit by a Fire-type move, the Pokémon absorbs the flames and uses them to power up its own Fire-type moves."
19,Shield Dust,shielddust,Protective dust shields the Pokémon from the additional effects of moves.
20,Own Tempo,owntempo,"The Pokémon sticks to its own tempo, preventing it from becoming confused or being affected by Intimidate."
21,Suction Cups,suctioncups,The Pokémon uses suction cups to stay in one spot. This protects it from moves and items that would force it to switch out.
22,Intimidate,intimidate,"When the Pokémon enters a battle, it intimidates opposing Pokémon and makes them cower, lowering their Attack stats."
