name,base,slug,type1,type2,abil1,abil2,abilh,hp,atk,def,spa,spd,spe,form_num
Bulbasaur,bulbasaur,bulbasaur,grass,poison,overgrow,,chlorophyll,45,49,49,65,65,45,0
Ivysaur,ivysaur,ivysaur,grass,poison,overgrow,,chlorophyll,60,62,63,80,80,60,0
Venusaur,venusaur,venusaur,grass,poison,overgrow,,chlorophyll,80,82,83,100,100,80,0
Charmander,charmander,charmander,fire,,blaze,,solarpower,39,52,43,60,50,65,0
Charmeleon,charmeleon,charmeleon,fire,,blaze,,solarpower,58,64,58,80,65,80,0
Charizard,charizard,charizard,fire,flying,blaze,,solarpower,78,84,78,109,85,100,0
Squirtle,squirtle,squirtle,water,,torrent,,raindish,44,48,65,50,64,43,0
Wartortle,wartortle,wartortle,water,,torrent,,raindish,59,63,80,65,80,58,0
Blastoise,blastoise,blastoise,water,,torrent,,raindish,79,83,100,85,105,78,0
Caterpie,caterpie,caterpie,bug,,shielddust,,runaway,45,30,35,20,20,45,0
Metapod,metapod,metapod,bug,,shedskin,,,50,20,55,25,25,30,0
Butterfree,butterfree,butterfree,bug,flying,compoundeyes,,tintedlens,60,45,50,90,80,70,0
Weedle,weedle,weedle,bug,poison,shielddust,,runaway,40,35,30,20,20,50,0
Kakuna,kakuna,kakuna,bug,poison,shedskin,,,45,25,50,25,25,35,0
Beedrill,beedrill,beedrill,bug,poison,swarm,,sniper,65,90,40,45,80,75,0
Pidgey,pidgey,pidgey,normal,flying,keeneye,tangledfeet,bigpecks,40,45,40,35,35,56,0
Pidgeotto,pidgeotto,pidgeotto,normal,flying,keeneye,tangledfeet,bigpecks,63,60,55,50,50,71,0
Pidgeot,pidgeot,pidgeot,normal,flying,keeneye,tangledfeet,bigpecks,83,80,75,70,70,101,0
Rattata,rattata,rattata,normal,,runaway,guts,hustle,30,56,35,25,35,72,0
Raticate,raticate,raticate,normal,,runaway,guts,hustle,55,81,60,50,70,97,0
Spearow,spearow,spearow,normal,flying,keeneye,,sniper,40,60,30,31,31,70,0
Fearow,fearow,fearow,normal,flying,keeneye,,sniper,65,90,65,61,61,100,0
Ekans,ekans,ekans,poison,,intimidate,shedskin,unnerve,35,60,44,40,54,55,0
Arbok,arbok,arbok,poison,,intimidate,shedskin,unnerve,60,95,69,65,79,80,0
Pikachu,pikachu,pikachu,electric,,static,,lightningrod,35,55,40,50,50,90,0
Raichu,raichu,raichu,electric,,static,,lightningrod,60,90,55,90,80,110,0
Sandshrew,sandshrew,sandshrew,ground,,sandveil,,sandrush,50,75,85,20,30,40,0
Sandslash,sandslash,sandslash,ground,,sandveil,,sandrush,75,100,110,45,55,65,0
Nidoran-F,nidoranf,nidoranf,poison,,poisonpoint,rivalry,hustle,55,47,52,40,40,41,0
Nidorina,nidorina,nidorina,poison,,poisonpoint,rivalry,hustle,70,62,67,55,55,56,0
Nidoqueen,nidoqueen,nidoqueen,poison,ground,poisonpoint,rivalry,sheerforce,90,92,87,75,85,76,0
Nidoran-M,nidoranm,nidoranm,poison,,poisonpoint,rivalry,hustle,46,57,40,40,40,50,0
Nidorino,nidorino,nidorino,poison,,poisonpoint,rivalry,hustle,61,72,57,55,55,65,0
Nidoking,nidoking,nidoking,poison,ground,poisonpoint,rivalry,sheerforce,81,102,77,85,75,85,0
Clefairy,clefairy,clefairy,fairy,,cutecharm,magicguard,friendguard,70,45,48,60,65,35,0
Clefable,clefable,clefable,fairy,,cutecharm,magicguard,unaware,95,70,73,95,90,60,0
Vulpix,vulpix,vulpix,fire,,flashfire,,drought,38,41,40,50,65,65,0
Ninetales,ninetales,ninetales,fire,,flashfire,,drought,73,76,75,81,100,100,0
Jigglypuff,jigglypuff,jigglypuff,normal,fairy,cutecharm,competitive,friendguard,115,45,20,45,25,20,0
Wigglytuff,wigglytuff,wigglytuff,normal,fairy,cutecharm,competitive,frisk,140,70,45,85,50,45,0
Zubat,zubat,zubat,poison,flying,innerfocus,,infiltrator,40,45,35,30,40,55,0
Golbat,golbat,golbat,poison,flying,innerfocus,,infiltrator,75,80,70,65,75,90,0
Oddish,oddish,oddish,grass,poison,chlorophyll,,runaway,45,50,55,75,65,30,0
Gloom,gloom,gloom,grass,poison,chlorophyll,,stench,60,65,70,85,75,40,0
Vileplume,vileplume,vileplume,grass,poison,chlorophyll,,effectspore,75,80,85,110,90,50,0
